,Procurement,Industry,Company,Time,Results
77,"Procurement of 4679-234230606129/03 Ningxia Tiandi Benniu Industrial Group Co., LTD. High-end digital manufacturing (Ningxia) base construction reducer digital workshop equipment International competitive bidding project(2)",Machining,"Project Name:Ningxia Tiandi Benniu Industrial Group Co., LTD. High-end digital manufacturing (Ningxia) base construction reducer digital workshop equipment International competitive bidding projectBidding NO  :****-************/**Bidding Content:Package *: CNC gear hobbing ma...",2023-08-22,Evaluation Results
78,Procurement of 0730-234011020399/04 Etchant Management System(2),Apparatus and Meter,"Project Name:Etchant Management SystemBidding NO  :****-************/**Bidding Content:Etchant Management SystemBidding Agency:AVIC International Trade & Economic Development ., LTDPurchasers:Xiamen Tianma Optoelectronics Co., Ltd.Open-Time of Bids:****-**-** **:**Ending Date...",2023-08-22,Evaluation Results
79,Procurement of 1176-2340624CG03C/02 The Third Clinical Hospital affiliated to Changchun University of Traditional Chinese Medicine upgraded the hierarchical diagnosis and treatment service capacity building import procurement project(1),Medical equipment & medicine,Project Name:The Third Clinical Hospital affiliated to Changchun University of Traditional Chinese Medicine upgraded the hierarchical diagnosis and treatment service capacity building import procurement projectBidding NO  :****-*******CG**C/**Bidding Content:The Third Clinica...,2023-08-22,Evaluation Results
80,"Procurement of 3230-234000110022 Lanzhou Biological Products Research Institute Co., Ltd.Industrial-grade balance procurement project(1)",Others ,"Guoxin Tendering Group Co.,Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on**...",2023-08-22,New Tenders
81,"Procurement of 3230-234000110021 Lanzhou Biological Products Research Institute Co., Ltd. potential analyzer procurement project(1)",Apparatus and Meter,"Guoxin Tendering Group Co.,Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com on**...",2023-08-22,New Tenders
82,Procurement of 0811-234DSITC1750 Invasive ventilator(1),Medical equipment & medicine,"Project Name:Invasive ventilatorBidding NO  :****-***DSITC****Bidding Content:Invasive ventilatorthirty setsBidding Agency:Shanghai Dongsong Healthcare & Technology Co.,Ltd.Purchasers:RENJI HOSPITAL SHANGHAI JIAOTONG UNIVERSITY SCHOOL OF MEDICINEOpen-Time of Bids:****-**-** *...",2023-08-22,Tender Awards
83,Procurement of 1176-2340624CG03C/01 The Third Clinical Hospital affiliated to Changchun University of Traditional Chinese Medicine upgraded the hierarchical diagnosis and treatment service capacity building import procurement project(1),Medical equipment & medicine,Project Name:The Third Clinical Hospital affiliated to Changchun University of Traditional Chinese Medicine upgraded the hierarchical diagnosis and treatment service capacity building import procurement projectBidding NO  :****-*******CG**C/**Bidding Content:The Third Clinica...,2023-08-22,Evaluation Results
84,Procurement of 0753-234023253002/02 X-ray fluorescence spectrum analyzer(1),Apparatus and Meter,"CHINA STATE SHIPBUILDING EQUIPMENT AND MATERIALS CORPORATION LIMITED entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was...",2023-08-22,New Tenders
85,Procurement of 0712-234022303051 Three-way switch ball valve for Sinopec Zhenhai Refining & Chemical Company(2),Machining,"Project Name:Three-way switch ball valve for Sinopec Zhenhai Refining & Chemical CompanyBidding NO  :****-************Bidding Content:* sets of Three-way switch ball valveBidding Agency:Sinopec International Co.,Ltd.Purchasers:China Petrochemical International Co.,Ltd.Open-Ti...",2023-08-22,Evaluation Results
86,Procurement of 0626-234230210014 Procurement of gear measuring instrument(2),Apparatus and Meter,"Project Name:Procurement of gear measuring instrumentBidding NO  :****-************Bidding Content:Procurement of gear measuring instrumentBidding Agency:Jiangsu Tendering Center Co., Ltd.Purchasers:CRRC Qishuyan Institute Co.,Ltd.Open-Time of Bids:****-**-** **:**Data of Eva...",2023-08-22,Tender Awards
87,Procurement of 0753-234023253002/01 raman spectrometer(1),Apparatus and Meter,"CHINA STATE SHIPBUILDING EQUIPMENT AND MATERIALS CORPORATION LIMITED entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was...",2023-08-22,New Tenders
88,Procurement of 0705-234005009003 Bid for Clinical Mass Spectrometry Procurement Bidding Project for Academy of Forensic Science(1),Apparatus and Meter,"Shanghai International Tendering Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidd...",2023-08-22,New Tenders
89,Procurement of 0687-234020230039 Tianfu Jincheng Laboratory (Frontier Medical Center) electron microscope center equipment procurement project(1),Apparatus and Meter,"Project Name:Tianfu Jincheng Laboratory (Frontier Medical Center) electron microscope center equipment procurement projectBidding NO  :****-************Bidding Content:* batch cryoelectron microscope setBidding Agency:Sichuan International Tendering Co.,Ltd.Purchasers:Tianfu ...",2023-08-22,Tender Awards
